Changed database context to 'Guardian'.
SPTNumber                                                                                                                                                                                                SPTFormatId SPTObjectTypeId
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ----------- ---------------
(01)11880040000019(21)0000003433                                                                                                                                                                                  20               1
(01)11880040000019(21)0000016024                                                                                                                                                                                  20               1
(01)11880040000019(21)0000029272                                                                                                                                                                                  20               1
(01)11880040000019(21)0000032267                                                                                                                                                                                  20               1
(01)11880040000019(21)0000049624                                                                                                                                                                                  20               1
(01)11880040000019(21)0000050307                                                                                                                                                                                  20               1
(01)11880040000019(21)0000061859                                                                                                                                                                                  20               1
(01)11880040000019(21)0000071763                                                                                                                                                                                  20               1
(01)11880040000019(21)0000081742                                                                                                                                                                                  20               1
(01)11880040000019(21)0000095301                                                                                                                                                                                  20               1
(01)11880040000019(21)0000106024                                                                                                                                                                                  20               1
(01)11880040000019(21)0000112267                                                                                                                                                                                  20               1
(01)11880040000019(21)0000121884                                                                                                                                                                                  20               1
(01)11880040000019(21)0000137849                                                                                                                                                                                  20               1
(01)11880040000019(21)0000142782                                                                                                                                                                                  20               1
(01)11880040000019(21)0000158387                                                                                                                                                                                  20               1
(01)11880040000019(21)0000162923                                                                                                                                                                                  20               1
(01)11880040000019(21)0000171753                                                                                                                                                                                  20               1
(01)11880040000019(21)0000184399                                                                                                                                                                                  20               1
(01)11880040000019(21)0000191361                                                                                                                                                                                  20               1
(01)11880040000019(21)0000202859                                                                                                                                                                                  20               1
(01)11880040000019(21)0000219497                                                                                                                                                                                  20               1
(01)11880040000019(21)0000224836                                                                                                                                                                                  20               1
(01)11880040000019(21)0000235916                                                                                                                                                                                  20               1
(01)11880040000019(21)0000243227                                                                                                                                                                                  20               1
(01)11880040000019(21)0000259286                                                                                                                                                                                  20               1
(01)11880040000019(21)0000264413                                                                                                                                                                                  20               1
(01)11880040000019(21)0000278130                                                                                                                                                                                  20               1
(01)11880040000019(21)0000289403                                                                                                                                                                                  20               1
(01)11880040000019(21)0000290261                                                                                                                                                                                  20               1
(01)11880040000019(21)0000305028                                                                                                                                                                                  20               1
(01)11880040000019(21)0000310669                                                                                                                                                                                  20               1
(01)11880040000019(21)0000321924                                                                                                                                                                                  20               1
(01)11880040000019(21)0000334733                                                                                                                                                                                  20               1
(01)11880040000019(21)0000341785                                                                                                                                                                                  20               1
(01)11880040000019(21)0000357868                                                                                                                                                                                  20               1
(01)11880040000019(21)0000361710                                                                                                                                                                                  20               1
(01)11880040000019(21)0000371094                                                                                                                                                                                  20               1
(01)11880040000019(21)0000381472                                                                                                                                                                                  20               1
(01)11880040000019(21)0000398820                                                                                                                                                                                  20               1
(01)11880040000019(21)0000402149                                                                                                                                                                                  20               1
(01)11880040000019(21)0000413335                                                                                                                                                                                  20               1
(01)11880040000019(21)0000426473                                                                                                                                                                                  20               1
(01)11880040000019(21)0000430033                                                                                                                                                                                  20               1
(01)11880040000019(21)0000441929                                                                                                                                                                                  20               1
(01)11880040000019(21)0000452037                                                                                                                                                                                  20               1
(01)11880040000019(21)0000466279                                                                                                                                                                                  20               1
(01)11880040000019(21)0000476347                                                                                                                                                                                  20               1
(01)11880040000019(21)0000487262                                                                                                                                                                                  20               1
(01)11880040000019(21)0000495928                                                                                                                                                                                  20               1
(01)11880040000019(21)0000505589                                                                                                                                                                                  20               1
(01)11880040000019(21)0000513661                                                                                                                                                                                  20               1
(01)11880040000019(21)0000526390                                                                                                                                                                                  20               1
(01)11880040000019(21)0000538059                                                                                                                                                                                  20               1
(01)11880040000019(21)0000540269                                                                                                                                                                                  20               1
(01)11880040000019(21)0000553935                                                                                                                                                                                  20               1
(01)11880040000019(21)0000561189                                                                                                                                                                                  20               1
(01)11880040000019(21)0000573356                                                                                                                                                                                  20               1
(01)11880040000019(21)0000589039                                                                                                                                                                                  20               1
(01)11880040000019(21)0000590339                                                                                                                                                                                  20               1
(01)11880040000019(21)0000605893                                                                                                                                                                                  20               1
(01)11880040000019(21)0000613728                                                                                                                                                                                  20               1
(01)11880040000019(21)0000622359                                                                                                                                                                                  20               1
(01)11880040000019(21)0000631481                                                                                                                                                                                  20               1
(01)11880040000019(21)0000640273                                                                                                                                                                                  20               1
(01)11880040000019(21)0000656305                                                                                                                                                                                  20               1
(01)11880040000019(21)0000667941                                                                                                                                                                                  20               1
(01)11880040000019(21)0000677149                                                                                                                                                                                  20               1
(01)11880040000019(21)0000686064                                                                                                                                                                                  20               1
(01)11880040000019(21)0000694912                                                                                                                                                                                  20               1
(01)11880040000019(21)0000706677                                                                                                                                                                                  20               1
